ICAO	ВК	Часть	Вид	Кандидат	Аэропорт	Пассажиропоток	Груз, тонн	Почта, тонн	Цена ТС-1, руб	Категория	Учитывать	Имя
UWPS	3	ОЧП	УА	True	Саранск	0	0.0	0.0	61014	1	True	UWPS | SKX | Саранск
UNIS	3	ОЧП	АН	True	Северо-Енисейск	24521	июл.14	43.56	73280	1	True	UNIS | Северо-Енисейск
UHMW	3	ОЧП	АН	False	Северо-Эвенск	7745	41.9	24.58	0	2	True	UHMW | SWV | Северо-Эвенск
UHMS	3	ОЧП	АН	True	Сеймчан	2008	102.79	0.0	0	1	True	UHMS | Сеймчан
UHPS	3	ОЧП	АН	False	Соболево	807	мар.59	авг.72	0	3	True	UHPS | Соболево | Соболево
UENS	3	ОЧП	АН	False	Сунтар	11303	21.55	58.5	0	2	True	UENS | SUY | Сунтар
USRR	3	ОЧП	УА	True	Сургут	1721044	3579.3	651.0	62110	1	True	USRR | SGC | Сургут
UIKG	3	ОЧП	АН	False	Таксимо	12474	32.02	сен.78	0	2	True	UIKG | Таксимо
UECT	3	ОЧП	АН	True	Талакан	265485	816.71	0.0	75529	1	True	UECT | TLK | Талакан
UUOT	3	ОЧП	УА	True	Тамбов (Донское)	31294	0.0	0.0	58433	1	True	UUOT | TBW | Тамбов | Донское
USDS	3	ОЧП	АН	False	Тарко-Сале	14412	457.3	25.дек	62971	2	True	USDS | TQL | Тарко-Сале
UHPG	3	ОЧП	АН	False	Тигиль	4047	14.17	23.51	0	2	True	UHPG | Тигиль
UHPT	3	ОЧП	АН	False	Тиличики	32928	65.47	254.82	0	3	True	UHPT | Тиличики
USDO	3	ОЧП	АН	False	Толька	7872	71.92	16.17	0	2	True	USDO | Толька
UNTT	3	ОЧП	УА	True	Томск (Богашево)	617717	1896.32	418.84	64867	1	True	UNTT | TOF | Томск | Богашёво
UNIT	3	ОЧП	АН	True	Тура (Горный)	2066	окт.22	май.65	63305	1	True	UNIT | Тура-Горный
UOTT	3	ОЧП	АН	True	Туруханск	19684	564.23	52.03	62256	1	True	UOTT | THX | Туруханск | Туруханск
