ICAO,Часть,Вид,Кандидат,Аэропорт,Пассажиропоток,"Груз, тонн","Почта, тонн","Цена ТС-1, руб",Категория,Агломерация,ППмакс,Обслуживание,Взлётпос,Пользование,Безопасность,Дата
UWKE,ОЧП,УА,True,Нижнекамск (Бегишево),587361,637.0,16.0,0,1,1684108,2694573.0,153.0,655.0,69.0,364.0,26 августа 2016
UWGG,ОЧП,УА,True,Нижний Новгород (Стригино),961491,948.38,311.97,62780,1,2520761,4033218.0,780.0,870.0,180.0,663.0,11 октября 2019
UHNN,ОЧП,АН,True,Николаевск-на-Амуре,35415,46.62,135.34,86572,1,30691,49106.0,,,,,
UHPX,ОЧП,АН,False,Никольское,1863,4.54,10.84,0,3,696,1114.0,292.0,1838.0,213.0,1245.0,15 января 2019
UNWW,ОЧП,УА,True,Новокузнецк (Спиченково),234409,1621.3,95.5,64000,1,1396602,2234563.0,234.4,697.4,139.7,321.4,11 октября 2019
UNNT,ОЧП,УА,False,Новосибирск (Толмачево),4809605,22012.5,7610.5,64100,1,2200594,3520950.0,,,,,
USMU,ОЧП,УА,True,Новый Уренгой,937628,4167.8,210.8,0,1,137757,220411.0,262.28,1398.57,41.39,663.74,14 октября 2019
UHSN,ОЧП,АН,True,Ноглики,40938,0.0,0.0,92548,1,14225,22760.0,510.0,2180.0,220.0,1480.0,25 августа 2016
UOOO,ОЧП,УА,True,Норильск (Алыкель),461723,9999.63,1440.2,60971,1,267819,428510.0,624.0,2106.0,162.0,1233.6,14 октября 2019
USRO,ОЧП,АН,True,Ноябрьск,209479,624.82,147.04,66066,1,142639,228222.0,149.4,1136.0,58.44,349.0,30 ноября 2015
UENN,ОЧП,АН,False,Нюрба,20460,30.39,73.6,0,2,33622,53795.0,505.2,2928.0,240.0,1344.0,8 октября 2019
UHQO,ОЧП,АН,False,Озерная,13,0.04,0.48,0,3,4648,7437.0,,,,,
UEMO,ОЧП,АН,False,Олекминск,33653,70.1,96.73,0,2,20172,32275.0,505.2,2928.0,240.0,1344.0,8 октября 2019
UERO,ОЧП,АН,False,Оленек,10388,214.51,19.53,0,2,3089,4942.0,505.2,2928.0,240.0,1344.0,8 октября 2019
UHMN,ОЧП,АН,False,Омолон,1792,154.0,10.0,0,2,699,1118.0,,,,,
UNOO,ОЧП,УА,True,Омск (Центральный),948248,3267.0,664.0,59907,1,1575555,2520888.0,165.0,545.0,66.0,484.0,14 октября 2019
UHMF,ОЧП,АН,False,Омсукчан,7015,219.37,0.0,73600,2,4913,7861.0,,,,,
UWOO,ОЧП,УА,True,Оренбург (Центральный),744303,1218.06,598.41,65748,1,930285,1488456.0,124.8,387.5,46.0,378.4,18 августа 2015
UWOR,ОЧП,УА,True,Орск,26310,79.0,0.0,63882,1,506059,809694.0,147.2,1064.49,49.8,526.83,2 сентября 2016
UHPD,ОЧП,АН,True,Оссора,8124,37.11,63.83,0,1,3509,5614.0,,,,,
UHSH,ОЧП,АН,False,Оха,44347,86.53,28.04,96151,2,22224,35558.0,547.7,2125.3,261.8,1412.6,25 августа 2016
UHOO,ОЧП,АН,True,Охотск,27777,1046.58,84.8,0,1,5817,9307.0,518.5,2113.3,275.3,942.4,10 января 2019
UHPL,ОЧП,АН,True,Палана,9570,20.09,81.41,0,1,3443,5509.0,292.0,1838.0,213.0,1245.0,15 января 2019
ZD5W,ОЧП,АН,False,Парамушир,0,0.0,0.0,0,3,2485,3976.0,,,,,
UHPA,ОЧП,АН,False,Пахачи,1429,4.98,5.94,0,3,1346,2154.0,,,,,
UHMP,ОЧП,АН,True,Певек,24226,959.0,113.0,0,1,4641,7426.0,747.0,1828.0,296.0,1288.0,15 октября 2020
UWPP,ОЧП,УА,True,Пенза,152881,22.78,0.0,61136,1,1098097,1756955.0,79.97,260.05,31.17,77.62,15 октября 2019
USPP,ОЧП,УА,True,Пермь (Большое Савино),1338373,2063.11,866.5,61570,1,1643798,2630077.0,343.2,676.8,103.2,452.4,15 октября 2019
ULPB,ОЧП,УА,True,Петрозаводск,30301,44.16,0.83,65050,1,368452,589523.0,,,,,
UHPP,ОЧП,УА,True,Петропавловск-Камчатский (Елизово),658689,10020.97,1635.3,67717,1,268292,429267.0,269.0,936.0,56.0,520.0,15 октября 2019
UNIP,ОЧП,АН,True,Подкаменная Тунгуска,10560,16.9,18.65,63202,1,4715,7544.0,,,,,
UERP,ОЧП,АН,True,Полярный,58237,502.76,21.33,0,1,25815,41304.0,505.2,2928.0,240.0,1344.0,8 октября 2019
UHMD,ОЧП,АН,False,Провидения (Провидения Бухта),6200,32.0,87.0,0,2,3285,5256.0,793.0,1829.0,538.0,1879.0,15 октября 2020
ULOO,ОЧП,УА,True,Псков (Кресты),4142,33.57,0.0,0,1,398908,638253.0,262.5,787.5,157.5,420.0,14 ноября 2013
URRP,ОЧП,УА,False,Ростов-на-Дону (Платов),187252,329.11,62.17,61680,1,3148733,5037973.0,,,,,
USDA,ОЧП,АН,True,Сабетта,369819,5778.85,0.0,69228,1,3285,5256.0,,,,,
UEBS,ОЧП,АН,False,Саккырыр,6251,225.21,15.48,0,2,3397,5435.0,,,,,
USDD,ОЧП,УА,True,Салехард,298104,959.7,411.7,73878,1,94665,151464.0,228.0,2528.0,91.0,877.0,16 октября 2019
UWWW,ОЧП,УА,True,Самара (Курумоч),2631729,2936.24,579.01,61650,1,2881384,4610214.0,436.8,410.6,142.0,360.4,16 октября 2019
UEMS,ОЧП,АН,False,Сангар,1598,4.9,14.32,0,2,7898,12637.0,,,,,
ULLI,ОЧП,УА,False,Санкт-Петербург (Пулково),16125520,28751.0,5855.0,62800,1,6320314,10112502.0,292.3,361.3,95.25,330.5,21 апреля 2017
UWPS,ОЧП,УА,True,Саранск,0,0.0,0.0,61014,1,851614,1362582.0,237.6,702.0,79.2,504.0,16 октября 2019
UWSG,ОЧП,УА,True,Саратов (Гагарин),481503,490.6,399.6,59748,1,1625902,2601443.0,,,,,
UERS,ОЧП,АН,False,Саскылах,13704,253.5,17.5,0,2,2438,3901.0,505.2,2928.0,240.0,1344.0,8 октября 2019
URFB,ОЧП,УА,True,Севастополь (Бельбек),0,0.0,0.0,0,1,1989996,3183994.0,,,,,
UNIS,ОЧП,АН,True,Северо-Енисейск,24521,7.14,43.56,73280,1,9789,15662.0,,,,,
UHMW,ОЧП,АН,False,Северо-Эвенск,7745,41.9,24.58,0,2,1879,3006.0,,,,,
UHMS,ОЧП,АН,True,Сеймчан,2008,102.79,0.0,0,1,3027,4843.0,,,,,
URFF,ОЧП,УА,False,Симферополь,5128743,7112.9,642.6,78263,1,2509264,4014822.0,,,,,
UHPS,ОЧП,АН,False,Соболево,807,3.59,8.72,0,3,2404,3846.0,,,,,
ULAS,ОЧП,АН,True,Соловки,9873,47.79,19.44,0,1,30031,48050.0,,,,,
URSS,ОЧП,УА,False,Сочи (Адлер),5681974,4107.4,228.04,63750,1,557978,892765.0,461.28,507.0,119.4,468.0,17 октября 2019
