ICAO,ВК,Часть,Вид,Кандидат,Аэропорт,Пассажиропоток,"Груз, тонн","Почта, тонн","Цена ТС-1, руб",Категория,Учитывать
UWWW,1,ОЧП,УА,True,Самара (Курумоч),2631729,2936.24,579.01,61650,1,True
UEMS,3,ОЧП,АН,False,Сангар,1598,4.9,14.32,0,2,True
ULLI,2,ОЧП,УА,False,Санкт-Петербург (Пулково),16125520,28751.0,5855.0,62800,1,True
UWPS,3,ОЧП,УА,True,Саранск,0,0.0,0.0,61014,1,True
UWSG,1,ОЧП,УА,True,Саратов (Гагарин),481503,490.6,399.6,59748,1,True
UERS,2,ОЧП,АН,False,Саскылах,13704,253.5,17.5,0,2,True
URFB,1,ОЧП,УА,True,Севастополь (Бельбек),0,0.0,0.0,0,1,True
UNIS,3,ОЧП,АН,True,Северо-Енисейск,24521,7.14,43.56,73280,1,True
UHMW,3,ОЧП,АН,False,Северо-Эвенск,7745,41.9,24.58,0,2,True
UHMS,3,ОЧП,АН,True,Сеймчан,2008,102.79,0.0,0,1,True
URFF,1,ОЧП,УА,False,Симферополь,5128743,7112.9,642.6,78263,1,True
UHPS,3,ОЧП,АН,False,Соболево,807,3.59,8.72,0,3,True
ULAS,2,ОЧП,АН,True,Соловки,9873,47.79,19.44,0,1,True
URSS,1,ОЧП,УА,False,Сочи (Адлер),5681974,4107.4,228.04,63750,1,True
UESK,2,ОЧП,АН,False,Среднеколымск,21468,784.63,72.89,0,2,True
URMT,1,ОЧП,УА,True,Ставрополь (Шпаковское),356210,794.0,437.0,74759,1,True
UENS,3,ОЧП,АН,False,Сунтар,11303,21.55,58.5,0,2,True
USRR,3,ОЧП,УА,True,Сургут,1721044,3579.3,651.0,62110,1,True
UUYY,2,ОЧП,УА,True,Сыктывкар,511582,733.83,293.51,0,1,True
UIKG,3,ОЧП,АН,False,Таксимо,12474,32.02,9.78,0,2,True
UECT,3,ОЧП,АН,True,Талакан,265485,816.71,0.0,75529,1,True
UUOT,3,ОЧП,УА,True,Тамбов (Донское),31294,0.0,0.0,58433,1,True
USDS,3,ОЧП,АН,False,Тарко-Сале,14412,457.3,25.12,62971,2,True
UHPG,3,ОЧП,АН,False,Тигиль,4047,14.17,23.51,0,2,True
UEST,2,ОЧП,АН,True,Тикси,17253,517.8,74.28,0,1,True
UHPT,3,ОЧП,АН,False,Тиличики,32928,65.47,254.82,0,3,True
USDO,3,ОЧП,АН,False,Толька,7872,71.92,16.17,0,2,True
UNTT,3,ОЧП,УА,True,Томск (Богашево),617717,1896.32,418.84,64867,1,True
UNIT,3,ОЧП,АН,True,Тура (Горный),2066,10.22,5.65,63305,1,True
UOTT,3,ОЧП,АН,True,Туруханск,19684,564.23,52.03,62256,1,True
UHBW,1,ОЧП,АН,True,Тында,5794,0.85,0.0,65833,1,True
USTR,3,ОЧП,УА,True,Тюмень (Рощино),1822909,3946.0,888.9,61680,1,True
UIUU,1,ОЧП,УА,True,Улан-Удэ (Мухино),259585,2260.3,268.51,64759,1,True
UWLL,3,ОЧП,УА,True,Ульяновск (Баратаевка),0,0.0,0.0,64227,1,True
UUYS,2,ОЧП,АН,True,Усинск,158657,451.23,36.14,62624,1,True
UHPK,3,ОЧП,АН,False,Усть-Камчатск,1248,0.22,3.81,0,2,True
UEBT,2,ОЧП,АН,False,Усть-Куйга,4039,248.52,9.35,0,2,True
UITT,3,ОЧП,АН,True,Усть-Кут,83521,475.52,28.22,63295,1,True
UEMU,3,ОЧП,АН,False,Усть-Мая,10676,79.6,30.4,0,2,True
UEMT,3,ОЧП,АН,False,Усть-Нера,12484,33.65,66.08,0,2,True
UHPU,3,ОЧП,АН,False,Усть-Хайрюзово,3696,15.5,18.31,0,3,True
USDM,2,ОЧП,АН,True,Утренний,0,0.0,0.0,0,1,True
UWUU,3,ОЧП,УА,False,Уфа,2794407,4390.83,787.43,64200,1,True
UHHH,1,ОЧП,УА,True,Хабаровск (Новый),2047092,24075.79,2161.88,64262,1,True
UEMH,3,ОЧП,АН,False,Хандыга (Теплый Ключ),1889,14.76,10.24,0,2,True
USHH,3,ОЧП,УА,True,Ханты-Мансийск,254537,597.79,332.46,62312,1,True
UOHH,2,ОЧП,АН,True,Хатанга,23522,2980.11,44.6,90156,1,True
UHNH,3,ОЧП,АН,False,Херпучи,730,3.28,4.39,0,3,True
UIAR,3,ОЧП,АН,True,Чара,9035,43.67,16.4,0,1,True
